stem_id,domain,difficulty,known_correction_applied,correct_option,wrong_suggestion_option,english_question,english_A,english_B,english_C,english_D,kazakh_question,kazakh_A,kazakh_B,kazakh_C,kazakh_D,semantic_equivalence,answer_preserved,distractors_preserved,language_quality,decision,reviewer,review_date,review_note
master_logic_072,logic,medium,no,B,A,Ice-cream sales and sunburn cases both rise in summer; therefore ice-cream causes sunburn. What is the main error?,Using a definition,Treating correlation as proof of causation,Applying modus ponens,Drawing a conclusion from identical premises,Балмұздақ сату және күнге күйіп қалу жағдайлары жазда өседі; сондықтан балмұздақ күннің күйіп қалуына әкеледі. Негізгі қате қандай?,Анықтаманы пайдалану,Корреляцияны себептілік дәлелі ретінде қарастыру,Modus ponens қолдану,Бірдей алғышарттардан қорытынды жасау,pending,pending,pending,pending,pending,,,
master_geo_071,geography,hard,no,B,D,A glacier erodes a former river valley for thousands of years. Which cross-sectional shape is most likely afterward?,A broad flat plain with no valley,A broad U-shaped valley,A perfectly circular basin,A narrow V-shaped valley,Мұздық мыңдаған жылдар бойы бұрынғы өзен аңғарын тоздырады. Қай көлденең қиманың пішіні кейінірек болуы мүмкін?,аңғары жоқ кең жазық жазық,U-тәрізді кең алқап,Керемет дөңгелек ойпат,V-тәрізді тар аңғар,pending,pending,pending,pending,pending,,,
master_logic_048,logic,hard,no,D,A,"Among 40 people, 30 drink tea, 18 drink coffee, and 10 drink both. How many drink exactly one of the two?",38,20,8,28,"40 адамның 30-ы шай, 18-і кофе, 10-ы екеуін де ішеді. Осы екеуінің біреуін қанша ішеді?",38,20,8,28,pending,pending,pending,pending,pending,,,
master_geo_007,geography,hard,no,B,C,"A traveler visits the capitals of Portugal, Spain, and Italy in that order. Which route is correct?",Madrid → Lisbon → Rome,Lisbon → Madrid → Rome,Lisbon → Barcelona → Milan,Porto → Madrid → Venice,"Саяхатшы Португалия, Испания және Италияның астаналарына осы ретпен барады. Қай бағыт дұрыс?",Мадрид → Лиссабон → Рим,Лиссабон → Мадрид → Рим,Лиссабон → Барселона → Милан,Порто → Мадрид → Венеция,pending,pending,pending,pending,pending,,,
master_logic_012,logic,easy,no,C,A,"If P is true and Q is false, what is the truth value of 'P and Q'?",True,Both true and false,False,Cannot be evaluated,"Егер P ақиқат болса, Q жалған болса, 'P және Q' ақиқат мәні неге тең?",Ақиқат,"Ақиқат та, жалған да",Жалған,Бағалау мүмкін емес,pending,pending,pending,pending,pending,,,
master_science_047,science,hard,no,C,D,A solid object has a mass of 240 grams and a volume of 80 cubic centimeters. It is placed in a liquid of density 2 grams per cubic centimeter. What will the object do?,Float because its density is 0.33 g/cm³,Remain suspended because both densities are equal,Sink because its density is 3 g/cm³,Float because heavier objects always displace more liquid,"Қатты дененің массасы 240 грамм, көлемі 80 текше сантиметр. Ол текше сантиметрге 2 грамм тығыздықтағы сұйықтыққа орналастырылады. Объект не істейді?","Қалқыма, себебі оның тығыздығы 0,33 г/см³","Екі тығыздық те тең болғандықтан, ілулі күйде қалу",Тығыздығы 3 г/см³,"Жүзу, өйткені ауыр заттар әрқашан көбірек сұйықтықты ығыстырады.",pending,pending,pending,pending,pending,,,
master_logic_007,logic,medium,no,B,C,When is exclusive OR between P and Q true?,Only when both are true,When exactly one of P and Q is true,"Whenever at least one is true, including both",Only when both are false,P және Q арасындағы ерекше НЕМЕСЕ қашан дұрыс?,Екеуі де ақиқат болғанда ғана,P және Q нақты біреуі ақиқат болғанда,"Кем дегенде біреуі ақиқат болғанда, оның ішінде екеуі де",Тек екеуі де жалған болғанда,pending,pending,pending,pending,pending,,,
master_geo_051,geography,easy,no,C,A,Lines of latitude run mainly in which direction on a conventional map?,North–south from pole to pole,Diagonally from northwest to southeast,"East–west, parallel to the Equator",Only around coastlines,Кәдімгі картада ендік сызықтары негізінен қай бағытта өтеді?,Полюстен полюске солтүстік-оңтүстік,Диагональ бойынша солтүстік-батыстан оңтүстік-шығысқа қарай,"Шығыс-батыс, экваторға параллель",Тек жағалау сызығының айналасында,pending,pending,pending,pending,pending,,,
master_science_065,science,medium,no,B,C,Why can removing a top predator cause the population of its prey to rise sharply?,The prey stops reproducing,Predation pressure on the prey is reduced,Removing the predator directly lowers the prey's birth rate,Sunlight becomes more intense,Неліктен жоғарғы жыртқышты жою оның жыртқышының популяциясының күрт өсуіне әкелуі мүмкін?,Жыртқыш көбеюін тоқтатады,Жыртқыштың жемге қысымы төмендейді,Жыртқышты алып тастау жыртқыштың тууын тікелей төмендетеді,Күн сәулесі күшейеді,pending,pending,pending,pending,pending,,,
master_science_050,science,easy,no,C,A,What instrument is used to measure atmospheric pressure?,Hygrometer,Anemometer,Barometer,Seismometer,Атмосфералық қысымды өлшеу үшін қандай құрал қолданылады?,Гигрометр,Анемометр,Барометр,Сейсмометр,pending,pending,pending,pending,pending,,,
master_math_061,mathematics,easy,no,C,A,A fair coin is tossed once. What is the probability of getting heads?,1,1/4,1/2,0,Әділ тиын бір рет лақтырылады. Бастың пайда болу ықтималдығы қандай?,1,1/4,1/2,0,pending,pending,pending,pending,pending,,,
master_science_061,science,medium,no,A,B,"A tall plant with genotype Tt is crossed with a short plant with genotype tt, where T is dominant. What fraction of the offspring is expected to be short?",One half,One quarter,None,All,"Tt генотипі бар биік өсімдік tt генотипті қысқа өсімдікпен қиылысады, мұнда T басым болады. Ұрпақтардың қандай бөлігі қысқа болады деп күтілуде?",Бір жарты,Төрттен бір,Ешбір,Барлығы,pending,pending,pending,pending,pending,,,
master_science_005,science,medium,no,C,A,"A plant's stomata close during a hot, dry afternoon. What immediate benefit does this provide?",It increases carbon dioxide entry,It speeds mineral absorption by roots,It reduces water loss through transpiration,It increases light capture by chlorophyll,"Өсімдіктің устьицалары ыстық, құрғақ түсте жабылады. Бұл дереу қандай пайда әкеледі?",Көмірқышқыл газының түсуін арттырады,Тамырдың минералды сіңуін тездетеді,Транспирация арқылы судың жоғалуын азайтады,Хлорофиллдің жарықты қабылдауын арттырады.,pending,pending,pending,pending,pending,,,
master_cs_036,computer_science,hard,no,D,C,What integer range can an 8-bit two's-complement value represent?,0 through 255,-127 through 127,-255 through 255,-128 through 127,8-разрядты екі толықтауыш мәні қандай бүтін сан ауқымын көрсете алады?,0-ден 255-ке дейін,-127-ден 127-ге дейін,-255-тен 255-ке дейін,-128-ден 127-ге дейін,pending,pending,pending,pending,pending,,,
master_cs_002,computer_science,medium,no,C,A,"In the assignment `x = x + 3`, what does the statement normally do in an imperative language?",Tests whether x equals x plus 3,Creates an equation that must always be true,Replaces x's current value with a value three larger,Leaves x unchanged because both sides contain x,`x = x + 3` тапсырмасында оператор әдетте императивті тілде не істейді?,x тең х плюс 3 екенін тексереді,Әрқашан ақиқат болуы керек теңдеуді жасайды,x мәнін үш үлкен мәнмен ауыстырады,"x мәнін өзгеріссіз қалдырады, себебі екі жағында x бар",pending,pending,pending,pending,pending,,,
master_logic_061,logic,hard,no,B,C,"Four tasks D, A, B, and C must be ordered. D is before A, A is before B, and C is after B. Which order is required?","A, D, B, C","D, A, B, C","D, B, A, C","D, A, C, B","D, A, B және C төрт тапсырмаға тапсырыс беру керек. D – А алдында, А – В алдында, С – В-ден кейін. Қандай реттілік қажет?","A, D, B, C","D, A, B, C","D, B, A, C","D, A, C, B",pending,pending,pending,pending,pending,,,
master_geo_052,geography,easy,no,C,B,A location at 25° south latitude lies in which hemisphere?,Eastern Hemisphere only,Northern Hemisphere,Southern Hemisphere,Western Hemisphere only,25° оңтүстік ендікте орналасқан жер қай жарты шарда жатыр?,Тек Шығыс жарты шар,Солтүстік жарты шар,Оңтүстік жарты шар,Тек Батыс жарты шар,pending,pending,pending,pending,pending,,,
master_geo_014,geography,easy,no,B,A,Hanoi is the capital of which country?,Thailand,Vietnam,Laos,Cambodia,Ханой қай елдің астанасы?,Тайланд,Вьетнам,Лаос,Камбоджа,pending,pending,pending,pending,pending,,,
master_cs_009,computer_science,medium,no,D,A,A program starts successfully but stops when it attempts to divide by zero. How is this problem best classified?,A syntax error detected before execution,A spelling error in a comment,A hardware upgrade,A runtime error,"Бағдарлама сәтті басталады, бірақ ол нөлге бөлуге әрекет жасағанда тоқтайды. Бұл мәселе ең жақсы қалай жіктеледі?",Орындау алдында анықталған синтаксистік қате,Түсініктемедегі емле қатесі,Аппараттық құралды жаңарту,Орындалу уақытының қатесі,pending,pending,pending,pending,pending,,,
master_cs_069,computer_science,medium,no,D,B,Which situation describes a deadlock?,One task finishes earlier than expected,A process voluntarily releases every resource before requesting another,The processor executes independent tasks in sequence,Tasks wait indefinitely for resources held by one another,Қандай жағдай тығырықты сипаттайды?,Бір тапсырма күтілгеннен ерте аяқталады,Процесс басқа сұраудан бұрын әрбір ресурсты өз еркімен босатады,Процессор тәуелсіз тапсырмаларды ретімен орындайды,Тапсырмалар бір-біріне тиесілі ресурстарды шексіз күтеді,pending,pending,pending,pending,pending,,,
master_cs_032,computer_science,easy,no,B,D,Which collection type is designed to store each distinct value at most once?,List,Set,Queue,Array with unrestricted duplicates,Қандай коллекция түрі әр ерекше мәнді бір уақытта сақтауға арналған?,Тізім,Орнату,Кезек,Шектеусіз көшірмелері бар массив,pending,pending,pending,pending,pending,,,
master_geo_070,geography,medium,no,B,A,Which countries make up the Benelux grouping?,"Belgium, Denmark, and Luxembourg","Belgium, the Netherlands, and Luxembourg","Belarus, the Netherlands, and Switzerland","Belgium, Norway, and Liechtenstein",Бенилюкс тобына қай елдер кіреді?,"Бельгия, Дания және Люксембург","Бельгия, Нидерланды және Люксембург","Беларусь, Нидерланды және Швейцария","Бельгия, Норвегия және Лихтенштейн",pending,pending,pending,pending,pending,,,
master_math_033,mathematics,medium,no,A,B,"After a number is decreased by 15%, the result is 68. What was the original number?",80,83,72,100,Санды 15%-ға азайтқаннан кейін нәтиже 68 болады. Бастапқы сан қандай болды?,80,83,72,100,pending,pending,pending,pending,pending,,,
master_math_065,mathematics,easy,no,A,B,"What is the range of the data set 4, 9, 12, 17?",13,21,8,17,"4, 9, 12, 17 деректер жиынының ауқымы қандай?",13,21,8,17,pending,pending,pending,pending,pending,,,
master_logic_065,logic,medium,no,B,D,"Three boxes—red, blue, and green—are arranged in a row. Red is left of blue, and green is right of blue. Which box is in the middle?",Red,Blue,Green,The middle cannot be determined,"Үш қорап — қызыл, көк және жасыл — қатарда орналасқан. Қызыл түс көктің сол жағында, жасыл түс көктің оң жағында. Қандай қорап ортасында?",Қызыл,Көк,Жасыл,Ортасын анықтау мүмкін емес,pending,pending,pending,pending,pending,,,
master_logic_077,logic,medium,no,A,D,"After meeting two rude tourists from one town, I conclude that everyone from that town is rude. Which error is this?",Hasty generalization,Modus tollens,Valid deduction,Appeal to authority,"Бір қаладан келген екі дөрекі туристерді кездестіргеннен кейін, мен бұл қаладан келгендердің барлығы дөрекі деген қорытындыға келдім. Бұл қай қателік?",Асығыс жалпылау,Модельдік төлемдер,Жарамды шегерім,Билікке шағымдану,pending,pending,pending,pending,pending,,,
master_cs_043,computer_science,medium,no,A,B,"During the basic instruction cycle, what normally happens after an instruction is fetched from memory?",It is decoded before its operation is executed,It is executed immediately without being decoded,The operating system is always reinstalled,The processor powers off,Нұсқаулардың негізгі циклі кезінде жадтан нұсқау алынғаннан кейін әдетте не болады?,Жұмыс орындалмай тұрып ол декодталады,Ол декодсыздан бірден орындалады,Амалдық жүйе әрқашан қайта орнатылады,Процессор өшіріледі,pending,pending,pending,pending,pending,,,
master_geo_053,geography,easy,no,C,D,Which coordinate measures position east or west of the Prime Meridian?,Elevation,Map scale,Longitude,Latitude,Қандай координат Бас меридианнан шығысқа немесе батысқа қарай орналасады?,Биіктігі,Карта масштабы,Бойлық,Ендік,pending,pending,pending,pending,pending,,,
master_math_022,mathematics,easy,no,A,B,What is 7 + 3 × 4 using the standard order of operations?,19,40,28,31,Амалдардың стандартты ретін қолданатын 7 + 3 × 4 дегеніміз не?,19,40,28,31,pending,pending,pending,pending,pending,,,
master_logic_062,logic,easy,no,D,A,"Nina finishes before Omar, and Omar finishes before Pia. Who finishes last?",Nina,Omar,Nina and Omar together,Pia,"Нина Омардан бұрын, ал Омар Пиадан бұрын аяқтайды. Кім соңғы аяқтайды?",Нина,Омар,Нина мен Омар бірге,Пиа,pending,pending,pending,pending,pending,,,
master_cs_051,computer_science,easy,no,C,D,Which relational operation combines rows from two tables using a related column?,Backup,Rollback,Join,Union,Қандай реляциялық операция қатысты бағанды ​​пайдаланып екі кестенің жолдарын біріктіреді?,Сақтық көшірме,Кері қайтару,Қосылыңыз,Одақ,pending,pending,pending,pending,pending,,,
master_cs_038,computer_science,easy,no,B,D,Which electronic component is the basic switching element used to build modern digital logic gates?,Loudspeaker,Transistor,Mechanical keyboard,Resistor,Қазіргі цифрлық логикалық қақпаларды құру үшін қолданылатын негізгі коммутациялық элемент қандай электрондық компонент болып табылады?,Дауыс зорайтқыш,Транзистор,Механикалық пернетақта,Резистор,pending,pending,pending,pending,pending,,,
master_logic_033,logic,medium,no,A,D,Submitting the completed form is sufficient to receive a confirmation number. Ivo submitted the completed form. What follows?,Ivo receives a confirmation number,Only Ivo can submit a form,A confirmation number is necessary to submit,Receiving a confirmation would prove that a completed form was submitted,Толтырылған пішінді жіберу растау нөмірін алу үшін жеткілікті. Ivo толтырылған пішінді жіберді. Бұдан кейін не болады?,Ivo растау нөмірін алады,Тек Ivo пішінді жібере алады,Растау нөмірі жіберу үшін қажет,Растауды алу толтырылған пішіннің жіберілгенін дәлелдейді,pending,pending,pending,pending,pending,,,
master_math_027,mathematics,easy,no,C,B,What is the greatest common divisor of 20 and 30?,2,5,10,15,20 мен 30 сандарының ең үлкен ортақ бөлгіші қандай?,2,5,10,15,pending,pending,pending,pending,pending,,,
master_logic_067,logic,easy,no,C,B,Ava and Bo must sit next to each other. Which seating order satisfies that constraint?,"Ava, Cy, Bo","Bo, Cy, Ava","Cy, Ava, Bo","Ava, Cy, Dana, Bo",Ава мен Бо бір-бірінің қасында отыруы керек. Қандай отыру тәртібі бұл шектеуді қанағаттандырады?,"Ava, Cy, Bo","Bo, Cy, Ava","Cy, Ava, Bo","Ava, Cy, Дана, Бо",pending,pending,pending,pending,pending,,,
master_logic_002,logic,easy,no,D,B,When is the conjunction 'P and Q' true?,"Whenever P is true, regardless of Q",When at least one of P and Q is true,Only when both are false,Only when both P and Q are true,'P және Q' жалғауы қашан дұрыс?,Q-ға қарамастан P ақиқат болғанда,P және Q-ның кем дегенде біреуі ақиқат болғанда,Екеуі де жалған болғанда ғана,Тек P және Q екеуі де ақиқат болғанда.,pending,pending,pending,pending,pending,,,
master_cs_031,computer_science,easy,no,A,C,Which search method checks elements one by one until the target is found or the collection ends?,Linear search,Hash-table lookup,Binary search,Tree rotation,Қандай іздеу әдісі мақсат табылғанша немесе жинақ аяқталғанша элементтерді бір-бірден тексереді?,Сызықтық іздеу,Хэш кестені іздеу,Екілік іздеу,Ағашты айналдыру,pending,pending,pending,pending,pending,,,
master_logic_041,logic,medium,no,A,C,"Let A = {1, 2, 3} and B = {3, 4}. What is A intersect B?",{3},"{1, 2, 3, 4}","{1, 2}",The empty set,"A = {1, 2, 3} және B = {3, 4} болсын. А қиылысы В дегеніміз не?",{3},"{1, 2, 3, 4}","{1, 2}",Бос жиын,pending,pending,pending,pending,pending,,,
master_math_017,mathematics,medium,no,C,A,A car travels 180 kilometers in 3 hours at a constant speed. How far does it travel in 5 hours?,60 kilometers,240 kilometers,300 kilometers,360 kilometers,Көлік тұрақты жылдамдықпен 3 сағатта 180 шақырым жол жүреді. Ол 5 сағатта қанша жол жүреді?,60 километр,240 километр,300 километр,360 километр,pending,pending,pending,pending,pending,,,
master_math_021,mathematics,hard,no,C,B,A price of $200 is increased by 10% and then the increased price is reduced by 10%. What is the final price?,$180,$200,$198,$220,"$200 бағасы 10%-ға көтеріледі, содан кейін көтерілген баға 10%-ға төмендейді. Соңғы бағасы қандай?",$180,$200,$198,$220,pending,pending,pending,pending,pending,,,
master_geo_069,geography,medium,no,B,D,Which set contains the three Scandinavian kingdoms in the narrow conventional sense?,"Finland, Iceland, and Estonia","Denmark, Norway, and Sweden","Germany, Denmark, and Poland","Norway, Finland, and Russia",Тар шартты мағынада үш Скандинавия патшалығының қайсысы бар?,"Финляндия, Исландия және Эстония","Дания, Норвегия және Швеция","Германия, Дания және Польша","Норвегия, Финляндия және Ресей",pending,pending,pending,pending,pending,,,
master_cs_028,computer_science,medium,no,B,A,What property makes a sorting algorithm stable?,It never uses extra memory,It preserves the relative order of records with equal keys,It always runs in O(n) time,It produces the same pivot on every run,Қандай қасиет сұрыптау алгоритмін тұрақты етеді?,Ол ешқашан қосымша жадты пайдаланбайды,Ол тең пернелермен жазбалардың салыстырмалы ретін сақтайды,Әрқашан O(n) уақытында жұмыс істейді,Әр іске қосуда бірдей айналуды жасайды,pending,pending,pending,pending,pending,,,
master_math_019,mathematics,easy,no,D,A,How many lines of symmetry does a rectangle that is not a square have?,4,1,0,2,Шаршы емес төртбұрыштың неше симметрия сызығы бар?,4,1,0,2,pending,pending,pending,pending,pending,,,
master_cs_042,computer_science,easy,no,B,D,How many bits are in one byte?,2,8,10,16,Бір байтта қанша бит бар?,2,8,10,16,pending,pending,pending,pending,pending,,,
master_math_058,mathematics,medium,no,B,D,The three-digit number 4a2 is divisible by 9. What digit is a?,1,3,5,6,Үш таңбалы 4a2 саны 9-ға бөлінеді. а цифры қандай цифр?,1,3,5,6,pending,pending,pending,pending,pending,,,
master_science_051,science,easy,no,B,A,Which process turns water vapor into liquid droplets in clouds?,Evaporation,Condensation,Sublimation,Infiltration,Қандай процесс су буын бұлттағы сұйық тамшыларға айналдырады?,булану,конденсация,сублимация,инфильтрация,pending,pending,pending,pending,pending,,,
master_math_018,mathematics,medium,no,A,D,What is the least common multiple of 18 and 24?,72,36,48,144,18 мен 24 сандарының ең кіші ортақ еселігі қандай?,72,36,48,144,pending,pending,pending,pending,pending,,,
master_logic_014,logic,medium,no,C,D,"Among the four possible truth assignments to P and Q, under how many is exclusive OR true?",One,Four,Two,Three,P және Q үшін мүмкін болатын төрт ақиқат тағайындауларының ішінде қаншасы ерекше НЕМЕСЕ ақиқат?,Бір,Төрт,Екі,Үш,pending,pending,pending,pending,pending,,,
master_science_074,science,easy,no,B,D,Which object is a natural satellite of Earth?,Mars,The Moon,The Sun,Venus,Қандай объект Жердің табиғи серігі болып табылады?,Марс,Ай,Күн,Венера,pending,pending,pending,pending,pending,,,
master_logic_057,logic,medium,no,A,C,"What number follows 3, 6, 11, 18, 27 when the increases are consecutive odd numbers 3, 5, 7, and 9?",38,36,40,54,"3, 6, 11, 18, 27 қатарлы тақ сандар 3, 5, 7 және 9 көбейтінділерінен кейін қандай сан шығады?",38,36,40,54,pending,pending,pending,pending,pending,,,
master_math_057,mathematics,medium,no,A,D,What is the sum of the first 20 positive integers?,210,190,220,200,Алғашқы 20 натурал санның қосындысы неге тең?,210,190,220,200,pending,pending,pending,pending,pending,,,
master_logic_035,logic,easy,no,C,B,A switch is active if and only if its indicator is green. The indicator is not green. What follows?,The switch is active,The switch may be active because only one direction holds,The switch is not active,The indicator must be red,Коммутатор тек оның индикаторы жасыл болса ғана белсенді болады. Көрсеткіш жасыл емес. Бұдан кейін не болады?,Коммутатор белсенді,"Қосқыш белсенді болуы мүмкін, себебі тек бір бағыт ұстайды",Коммутатор белсенді емес,Индикатор қызыл болуы керек,pending,pending,pending,pending,pending,,,
master_science_032,science,easy,no,D,B,Which form of energy is stored in a stretched elastic band?,Sound energy,Kinetic energy,Nuclear energy,Elastic potential energy,Созылған серпімді жолақта энергияның қай түрі сақталады?,Дыбыс энергиясы,Кинетикалық энергия,Ядролық энергия,Серпімді потенциалдық энергия,pending,pending,pending,pending,pending,,,
master_geo_002,geography,medium,no,A,C,Ottawa is the capital of which country?,Canada,Ireland,United States,Iceland,Оттава қай елдің астанасы?,Канада,Ирландия,Америка Құрама Штаттары,Исландия,pending,pending,pending,pending,pending,,,
master_logic_054,logic,medium,yes,C,A,"The letter pattern A, C, F, J advances by 2, then 3, then 4 alphabet positions. Which letter comes next?",N,P,O,M,"A, C, F, J әріптерінің тізбегі әліпбиде алдымен 2, кейін 3, одан соң 4 орынға ілгерілейді. Келесі әріп қайсы?",N,P,O,M,pending,pending,pending,pending,pending,,,
master_logic_039,logic,medium,yes,A,D,A permit is issued only if the applicant passes the review. A permit was issued to Ren. What follows?,Ren passed the review,Passing guarantees a permit in every case,Ren did not apply,The review was optional,Рұқсат өтініш беруші тексеруден өткен жағдайда ғана беріледі. Ренге рұқсат берілді. Бұдан қандай қорытынды шығады?,Рен тексеруден өтті,Өту әр жағдайда рұқсатқа кепілдік береді,Рен өтініш берген жоқ,Тексеру міндетті емес,pending,pending,pending,pending,pending,,,
master_logic_059,logic,easy,no,D,C,"What letter comes next in Z, X, V, T, ... when the pattern moves backward two alphabet positions each step?",Q,S,P,R,"Үлгі әр қадам сайын екі алфавиттік орынға артқа жылжыған кезде Z, X, V, T, ... әріптерінде келесі әріп келеді?",Q,S,P,R,pending,pending,pending,pending,pending,,,
master_math_059,mathematics,medium,no,B,D,What is the principal square root of 0.0081?,0.009,0.09,0.81,0.9,"0,0081 санының негізгі квадрат түбірі қандай?","0,009","0,09","0,81","0,9",pending,pending,pending,pending,pending,,,
master_geo_077,geography,medium,no,D,A,Which process most directly deepens a canyon cut by a river?,Wind depositing sand across the channel,Coral growth,Glacial deposition only,Long-term downward erosion by flowing water,Қандай процесс өзенмен кесілген каньонды тереңдетеді?,Арна бойымен жел тұндыратын құм,Маржан өсімі,Тек мұздық шөгіндісі,Ағынды судың ұзақ мерзімді төмен қарай эрозиясы,pending,pending,pending,pending,pending,,,
master_science_062,science,easy,no,B,C,Which component of blood helps form clots after a cut?,Plasma only,Platelets,Red blood cells,Antibodies,Қанның қай құрамдас бөлігі кесілгеннен кейін ұйығыштардың пайда болуына көмектеседі?,Тек плазма,Тромбоциттер,Эритроциттер,Антиденелер,pending,pending,pending,pending,pending,,,
master_geo_065,geography,medium,no,B,D,Why have many settlements historically developed near reliable rivers?,Rivers eliminate every flood risk,"Rivers can provide water, transport routes, and fertile land",Rivers guarantee a cold climate,Rivers always provide perfectly clean drinking water,Неліктен көптеген елді мекендер тарихи түрде сенімді өзендердің жанында дамыған?,Өзендер барлық су тасқыны қаупін жояды,"Өзендер сумен, көлік жолдарымен және құнарлы жермен қамтамасыз ете алады",Өзендер суық климатқа кепілдік береді,Өзендер әрқашан таза ауыз сумен қамтамасыз етеді,pending,pending,pending,pending,pending,,,
master_math_009,mathematics,easy,no,A,C,How many edges does a cube have?,12,14,8,6,Текшенің неше қыры бар?,12,14,8,6,pending,pending,pending,pending,pending,,,
master_math_015,mathematics,easy,no,D,C,What is the sum of the interior angles of any triangle?,90 degrees,270 degrees,360 degrees,180 degrees,Кез келген үшбұрыштың ішкі бұрыштарының қосындысы неге тең?,90 градус,270 градус,360 градус,180 градус,pending,pending,pending,pending,pending,,,
master_math_079,mathematics,easy,no,B,C,"If every value in a data set is the same, what is the range of the data set?",-1,0,1,Undefined,"Деректер жиынындағы әрбір мән бірдей болса, деректер жиынының ауқымы қандай?",-1,0,1,Анықталмаған,pending,pending,pending,pending,pending,,,
master_geo_016,geography,medium,no,C,A,Which city is the capital of South Korea?,Busan,Incheon,Seoul,Daegu,Оңтүстік Кореяның астанасы қай қала?,Пусан,Инчхон,Сеул,Тэгу,pending,pending,pending,pending,pending,,,
master_cs_015,computer_science,easy,no,D,A,What does a debugger breakpoint do?,Stops the program permanently so execution cannot continue,Automatically proves the program correct,Restarts the operating system,Pauses execution at a chosen point for inspection,Отладчиктің тоқтау нүктесі не істейді?,Орындауды жалғастыра алмайтындықтан бағдарламаны біржола тоқтатады,Бағдарламаның дұрыстығын автоматты түрде дәлелдейді,Амалдық жүйені қайта іске қосады,Тексеру үшін таңдалған нүктеде орындауды тоқтатады,pending,pending,pending,pending,pending,,,
master_logic_063,logic,medium,no,D,C,"Tasks X, Y, and Z occupy slots 1, 2, and 3. X is not first, and Y is immediately before X. Which order is possible?","X, Y, Z","Z, X, Y","Y, Z, X","Y, X, Z","X, Y және Z тапсырмалары 1, 2 және 3 ұяшықтарды алады. X бірінші емес, ал Y бірден X алдында. Қандай реттілік болуы мүмкін?","X, Y, Z","Z, X, Y","Y, Z, X","Y, X, Z",pending,pending,pending,pending,pending,,,
master_cs_077,computer_science,medium,no,C,D,What does the principle of least privilege require?,Every account receives administrator rights,Permissions are never reviewed,Each user or component receives only the access needed for its task,Every user receives the same standard set of permissions,Ең аз артықшылық принципі нені талап етеді?,Әрбір тіркелгі әкімші құқықтарын алады,Рұқсаттар ешқашан қаралмайды,Әрбір пайдаланушы немесе құрамдас тек өз тапсырмасына қажетті қатынасты алады,Әрбір пайдаланушы рұқсаттардың бірдей стандартты жинағын алады,pending,pending,pending,pending,pending,,,
master_cs_005,computer_science,medium,no,A,C,What is the distinction between a function parameter and an argument?,A parameter is named in the function definition; an argument is supplied in a call,A parameter is always numeric; an argument is always text,An argument is named in the definition; a parameter is supplied in a call,They differ only when a program has no functions,Функция параметрі мен аргументтің айырмашылығы неде?,Функция анықтамасында параметр аталды; аргумент шақыруда беріледі,Параметр әрқашан сандық болады; аргумент әрқашан мәтін,Аргумент анықтамада аталған; параметр шақыруда беріледі,Олар бағдарламаның функциялары болмаған кезде ғана ерекшеленеді,pending,pending,pending,pending,pending,,,
master_logic_008,logic,easy,no,C,B,How is the proposition 'R and not R' classified?,Tautology,Contingent proposition,Contradiction,Biconditional,"""R емес, R"" ұсынысы қалай жіктеледі?",Тавтология,Шартты ұсыныс,Қарама-қайшылық,Екі шартты,pending,pending,pending,pending,pending,,,
master_logic_015,logic,medium,no,B,D,All cedar objects are wooden. No wooden objects are transparent. What must follow?,Some transparent objects are cedar,No cedar objects are transparent,All transparent objects are wooden,All non-transparent objects are cedar,Барлық балқарағай заттары ағаштан жасалған. Ешбір ағаш заттар мөлдір емес. Нені ұстану керек?,Кейбір мөлдір заттар балқарағай,Ешбір балқарағай заттары мөлдір емес,Барлық мөлдір заттар ағаш,Барлық мөлдір емес заттар балқарағай,pending,pending,pending,pending,pending,,,
master_science_030,science,medium,no,B,D,"When liquid water boils at constant pressure, why does its temperature remain constant until boiling is complete?",The heater stops transferring energy,Added energy separates molecules during the phase change,The water loses all molecular motion,Added energy should keep raising the liquid's temperature,"Сұйық су тұрақты қысымда қайнағанда, қайнау аяқталғанша оның температурасы неге тұрақты болып қалады?",Қыздырғыш энергияны беруді тоқтатады,Қосылған энергия фазаның өзгеруі кезінде молекулаларды бөледі,Су барлық молекулалық қозғалысты жоғалтады,Қосылған энергия сұйықтықтың температурасын жоғарылату керек,pending,pending,pending,pending,pending,,,
master_cs_065,computer_science,medium,no,C,B,What is a principal difference between a process and a thread?,A thread always has its own computer,"Processes must share all memory, while threads never do","Threads in one process share its address space, while separate processes normally have distinct address spaces",A process cannot contain executable code,Процесс пен ағынның негізгі айырмашылығы неде?,Ағынның әрқашан өз компьютері болады,"Процестер барлық жадты ортақ пайдалануы керек, ал ағындар ешқашан жасамайды","Бір процестегі ағындар өзінің мекенжай кеңістігін бөліседі, ал бөлек процестерде әдетте әр түрлі адрестік кеңістіктер болады",Процесс орындалатын кодты қамтуы мүмкін емес.,pending,pending,pending,pending,pending,,,
master_science_067,science,easy,no,C,D,What is the name of the galaxy that contains our Solar System?,Andromeda Galaxy,Triangulum Galaxy,Milky Way Galaxy,Whirlpool Galaxy,Біздің Күн жүйесі бар галактика қалай аталады?,Андромеда галактикасы,Үшбұрышты галактика,Құс жолы галактикасы,Дөңес галактика,pending,pending,pending,pending,pending,,,
